snapshot_id,person_id,date_id,position_id,org_unit_id,location_id,company_id,is_active,employment_type,tenure_days,tenure_months,tenure_band
1,316,20190228,32,19,22,1,1,Full-Time,16,0.5,0-90 days
2,316,20190331,32,19,22,1,1,Full-Time,47,1.5,0-90 days
3,316,20190430,32,19,22,1,1,Full-Time,77,2.5,0-90 days
4,316,20190531,32,19,22,1,1,Full-Time,108,3.5,91-182 days
5,153,20190630,4,11,23,1,1,Part-Time,3,0.1,0-90 days
6,316,20190630,32,19,22,1,1,Full-Time,138,4.5,91-182 days
7,153,20190731,4,11,23,1,1,Part-Time,34,1.1,0-90 days
8,316,20190731,32,19,22,1,1,Full-Time,169,5.6,91-182 days
9,153,20190831,4,11,23,1,1,Part-Time,65,2.1,0-90 days
10,281,20190831,7,11,28,1,1,Full-Time,23,0.8,0-90 days
11,316,20190831,32,19,22,1,1,Full-Time,200,6.6,6-12 months
12,25,20190930,25,9,16,1,1,Full-Time,25,0.8,0-90 days
13,153,20190930,4,11,23,1,1,Part-Time,95,3.1,91-182 days
14,281,20190930,7,11,28,1,1,Full-Time,53,1.7,0-90 days
15,316,20190930,32,19,22,1,1,Full-Time,230,7.6,6-12 months
16,25,20191031,25,9,16,1,1,Full-Time,56,1.8,0-90 days
17,153,20191031,4,11,23,1,1,Part-Time,126,4.1,91-182 days
18,281,20191031,7,11,28,1,1,Full-Time,84,2.8,0-90 days
19,316,20191031,32,19,22,1,1,Full-Time,261,8.6,6-12 months
20,25,20191130,25,9,16,1,1,Full-Time,86,2.8,0-90 days
21,153,20191130,4,11,23,1,1,Part-Time,156,5.1,91-182 days
22,281,20191130,7,11,28,1,1,Full-Time,114,3.7,91-182 days
23,316,20191130,32,19,22,1,1,Full-Time,291,9.6,6-12 months
24,25,20191231,25,9,16,1,1,Full-Time,117,3.8,91-182 days
25,153,20191231,4,11,23,1,1,Part-Time,187,6.1,6-12 months
26,281,20191231,7,11,28,1,1,Full-Time,145,4.8,91-182 days
27,316,20191231,32,19,22,1,1,Full-Time,322,10.6,6-12 months
28,25,20200131,25,9,16,1,1,Full-Time,148,4.9,91-182 days
29,153,20200131,4,11,23,1,1,Part-Time,218,7.2,6-12 months
30,281,20200131,7,11,28,1,1,Full-Time,176,5.8,91-182 days
31,295,20200131,27,10,9,1,1,Contractor,13,0.4,0-90 days
32,316,20200131,32,19,22,1,1,Full-Time,353,11.6,6-12 months
33,25,20200229,25,9,16,1,1,Full-Time,177,5.8,91-182 days
34,153,20200229,4,11,23,1,1,Part-Time,247,8.1,6-12 months
35,281,20200229,7,11,28,1,1,Full-Time,205,6.7,6-12 months
36,295,20200229,27,10,9,1,1,Contractor,42,1.4,0-90 days
37,316,20200229,32,19,22,1,1,Full-Time,382,12.5,1-2 years
38,473,20200229,17,7,2,1,1,Full-Time,6,0.2,0-90 days
39,475,20200229,34,19,15,1,1,Full-Time,9,0.3,0-90 days
40,25,20200331,25,9,16,1,1,Full-Time,208,6.8,6-12 months
41,153,20200331,4,11,23,1,1,Part-Time,278,9.1,6-12 months
42,281,20200331,7,11,28,1,1,Full-Time,236,7.8,6-12 months
43,295,20200331,27,10,9,1,1,Contractor,73,2.4,0-90 days
44,316,20200331,32,19,22,1,1,Full-Time,413,13.6,1-2 years
45,473,20200331,17,7,2,1,1,Full-Time,37,1.2,0-90 days
46,475,20200331,34,19,15,1,1,Full-Time,40,1.3,0-90 days
47,25,20200430,25,9,16,1,1,Full-Time,238,7.8,6-12 months
48,153,20200430,4,11,23,1,1,Part-Time,308,10.1,6-12 months
49,281,20200430,7,11,28,1,1,Full-Time,266,8.7,6-12 months
50,295,20200430,27,10,9,1,1,Contractor,103,3.4,91-182 days
51,316,20200430,32,19,22,1,1,Full-Time,443,14.6,1-2 years
52,473,20200430,17,7,2,1,1,Full-Time,67,2.2,0-90 days
53,475,20200430,34,19,15,1,1,Full-Time,70,2.3,0-90 days
54,25,20200531,25,9,16,1,1,Full-Time,269,8.8,6-12 months
55,153,20200531,4,11,23,1,1,Part-Time,339,11.1,6-12 months
56,281,20200531,7,11,28,1,1,Full-Time,297,9.8,6-12 months
57,295,20200531,27,10,9,1,1,Contractor,134,4.4,91-182 days
58,316,20200531,32,19,22,1,1,Full-Time,474,15.6,1-2 years
59,473,20200531,17,7,2,1,1,Full-Time,98,3.2,91-182 days
60,475,20200531,34,19,15,1,1,Full-Time,101,3.3,91-182 days
61,25,20200630,25,9,16,1,1,Full-Time,299,9.8,6-12 months
62,58,20200630,9,2,3,1,1,Contractor,7,0.2,0-90 days
63,96,20200630,19,3,30,1,1,Full-Time,17,0.6,0-90 days
64,153,20200630,4,11,23,1,1,Part-Time,369,12.1,1-2 years
65,281,20200630,7,11,28,1,1,Full-Time,327,10.7,6-12 months
66,295,20200630,27,10,9,1,1,Contractor,164,5.4,91-182 days
67,316,20200630,32,19,22,1,1,Full-Time,504,16.6,1-2 years
68,473,20200630,17,7,2,1,1,Full-Time,128,4.2,91-182 days
69,475,20200630,34,19,15,1,1,Full-Time,131,4.3,91-182 days
70,25,20200731,25,9,16,1,1,Full-Time,330,10.8,6-12 months
71,57,20200731,24,9,30,1,1,Part-Time,25,0.8,0-90 days
72,58,20200731,9,2,3,1,1,Contractor,38,1.2,0-90 days
73,96,20200731,19,3,30,1,1,Full-Time,48,1.6,0-90 days
74,153,20200731,4,11,23,1,1,Part-Time,400,13.1,1-2 years
75,281,20200731,7,11,28,1,1,Full-Time,358,11.8,6-12 months
76,295,20200731,27,10,9,1,1,Contractor,195,6.4,6-12 months
77,316,20200731,32,19,22,1,1,Full-Time,535,17.6,1-2 years
78,473,20200731,17,7,2,1,1,Full-Time,159,5.2,91-182 days
79,475,20200731,34,19,15,1,1,Full-Time,162,5.3,91-182 days
80,25,20200831,25,9,16,1,1,Full-Time,361,11.9,6-12 months
81,57,20200831,24,9,30,1,1,Part-Time,56,1.8,0-90 days
82,58,20200831,9,2,3,1,1,Contractor,69,2.3,0-90 days
83,80,20200831,7,16,12,1,1,Full-Time,21,0.7,0-90 days
84,96,20200831,19,3,30,1,1,Full-Time,79,2.6,0-90 days
85,153,20200831,4,11,23,1,1,Part-Time,431,14.2,1-2 years
86,281,20200831,7,11,28,1,1,Full-Time,389,12.8,1-2 years
87,295,20200831,27,10,9,1,1,Contractor,226,7.4,6-12 months
88,316,20200831,32,19,22,1,1,Full-Time,566,18.6,1-2 years
89,412,20200831,13,5,30,1,1,Full-Time,25,0.8,0-90 days
90,473,20200831,17,7,2,1,1,Full-Time,190,6.2,6-12 months
91,475,20200831,34,19,15,1,1,Full-Time,193,6.3,6-12 months
92,25,20200930,25,9,16,1,1,Full-Time,391,12.8,1-2 years
93,57,20200930,24,9,30,1,1,Part-Time,86,2.8,0-90 days
94,58,20200930,9,2,3,1,1,Contractor,99,3.3,91-182 days
95,80,20200930,7,16,12,1,1,Full-Time,51,1.7,0-90 days
96,96,20200930,19,3,30,1,1,Full-Time,109,3.6,91-182 days
97,153,20200930,4,11,23,1,1,Part-Time,461,15.1,1-2 years
98,281,20200930,7,11,28,1,1,Full-Time,419,13.8,1-2 years
99,295,20200930,27,10,9,1,1,Contractor,256,8.4,6-12 months
100,316,20200930,32,19,22,1,1,Full-Time,596,19.6,1-2 years
101,412,20200930,13,5,30,1,1,Full-Time,55,1.8,0-90 days
102,473,20200930,17,7,2,1,1,Full-Time,220,7.2,6-12 months
103,475,20200930,34,19,15,1,1,Full-Time,223,7.3,6-12 months
104,25,20201031,25,9,16,1,1,Full-Time,422,13.9,1-2 years
105,57,20201031,24,9,30,1,1,Part-Time,117,3.8,91-182 days
106,58,20201031,9,2,3,1,1,Contractor,130,4.3,91-182 days
107,80,20201031,7,16,12,1,1,Full-Time,82,2.7,0-90 days
108,96,20201031,19,3,30,1,1,Full-Time,140,4.6,91-182 days
109,98,20201031,13,5,18,1,1,Full-Time,12,0.4,0-90 days
110,153,20201031,4,11,23,1,1,Part-Time,492,16.2,1-2 years
111,281,20201031,7,11,28,1,1,Full-Time,450,14.8,1-2 years
112,295,20201031,27,10,9,1,1,Contractor,287,9.4,6-12 months
113,316,20201031,32,19,22,1,1,Full-Time,627,20.6,1-2 years
114,350,20201031,3,11,8,1,1,Full-Time,11,0.4,0-90 days
115,412,20201031,13,5,30,1,1,Full-Time,86,2.8,0-90 days
116,473,20201031,17,7,2,1,1,Full-Time,251,8.2,6-12 months
117,475,20201031,34,19,15,1,1,Full-Time,254,8.3,6-12 months
118,15,20201130,10,2,30,1,1,Full-Time,21,0.7,0-90 days
119,25,20201130,25,9,16,1,1,Full-Time,452,14.8,1-2 years
120,57,20201130,24,9,30,1,1,Part-Time,147,4.8,91-182 days
121,58,20201130,9,2,3,1,1,Contractor,160,5.3,91-182 days
122,80,20201130,7,16,12,1,1,Full-Time,112,3.7,91-182 days
123,96,20201130,19,3,30,1,1,Full-Time,170,5.6,91-182 days
124,98,20201130,13,5,18,1,1,Full-Time,42,1.4,0-90 days
125,153,20201130,4,11,23,1,1,Part-Time,522,17.1,1-2 years
126,281,20201130,7,11,28,1,1,Full-Time,480,15.8,1-2 years
127,295,20201130,27,10,9,1,1,Contractor,317,10.4,6-12 months
128,313,20201130,6,17,21,1,1,Part-Time,0,0.0,0-90 days
129,316,20201130,32,19,22,1,1,Full-Time,657,21.6,1-2 years
130,350,20201130,3,11,8,1,1,Full-Time,41,1.3,0-90 days
131,412,20201130,13,5,30,1,1,Full-Time,116,3.8,91-182 days
132,473,20201130,17,7,2,1,1,Full-Time,281,9.2,6-12 months
133,475,20201130,34,19,15,1,1,Full-Time,284,9.3,6-12 months
134,15,20201231,10,2,30,1,1,Full-Time,52,1.7,0-90 days
135,25,20201231,25,9,16,1,1,Full-Time,483,15.9,1-2 years
136,57,20201231,24,9,30,1,1,Part-Time,178,5.8,91-182 days
137,58,20201231,9,2,3,1,1,Contractor,191,6.3,6-12 months
138,80,20201231,7,16,12,1,1,Full-Time,143,4.7,91-182 days
139,96,20201231,19,3,30,1,1,Full-Time,201,6.6,6-12 months
140,98,20201231,13,5,18,1,1,Full-Time,73,2.4,0-90 days
141,153,20201231,4,11,23,1,1,Part-Time,553,18.2,1-2 years
142,281,20201231,7,11,28,1,1,Full-Time,511,16.8,1-2 years
143,295,20201231,27,10,9,1,1,Contractor,348,11.4,6-12 months
144,313,20201231,6,17,21,1,1,Part-Time,31,1.0,0-90 days
145,316,20201231,32,19,22,1,1,Full-Time,688,22.6,1-2 years
146,350,20201231,3,11,8,1,1,Full-Time,72,2.4,0-90 days
147,412,20201231,15,8,30,1,1,Full-Time,147,4.8,91-182 days
148,473,20201231,17,7,2,1,1,Full-Time,312,10.2,6-12 months
149,475,20201231,34,19,15,1,1,Full-Time,315,10.3,6-12 months
150,15,20210131,10,2,30,1,1,Full-Time,83,2.7,0-90 days
151,25,20210131,25,9,16,1,1,Full-Time,514,16.9,1-2 years
152,57,20210131,24,9,30,1,1,Part-Time,209,6.9,6-12 months
153,58,20210131,9,2,3,1,1,Contractor,222,7.3,6-12 months
154,80,20210131,7,16,12,1,1,Full-Time,174,5.7,91-182 days
155,96,20210131,19,3,30,1,1,Full-Time,232,7.6,6-12 months
156,98,20210131,13,5,18,1,1,Full-Time,104,3.4,91-182 days
157,124,20210131,2,17,4,1,1,Contractor,26,0.9,0-90 days
158,153,20210131,4,11,23,1,1,Part-Time,584,19.2,1-2 years
159,281,20210131,7,11,28,1,1,Full-Time,542,17.8,1-2 years
160,295,20210131,27,10,9,1,1,Contractor,379,12.5,1-2 years
161,313,20210131,6,17,21,1,1,Part-Time,62,2.0,0-90 days
162,316,20210131,32,19,22,1,1,Full-Time,719,23.6,1-2 years
163,350,20210131,3,11,8,1,1,Full-Time,103,3.4,91-182 days
164,412,20210131,15,8,30,1,1,Full-Time,178,5.8,91-182 days
165,447,20210131,10,5,30,1,1,Full-Time,12,0.4,0-90 days
166,473,20210131,17,7,2,1,1,Full-Time,343,11.3,6-12 months
167,475,20210131,34,19,15,1,1,Full-Time,346,11.4,6-12 months
168,15,20210228,10,2,30,1,1,Full-Time,111,3.6,91-182 days
169,25,20210228,25,9,16,1,1,Full-Time,542,17.8,1-2 years
170,57,20210228,24,9,30,1,1,Part-Time,237,7.8,6-12 months
171,58,20210228,9,2,3,1,1,Contractor,250,8.2,6-12 months
172,68,20210228,31,18,22,1,1,Full-Time,14,0.5,0-90 days
173,80,20210228,7,16,12,1,1,Full-Time,202,6.6,6-12 months
174,96,20210228,19,3,30,1,1,Full-Time,260,8.5,6-12 months
175,98,20210228,13,5,18,1,1,Full-Time,132,4.3,91-182 days
176,124,20210228,2,17,4,1,1,Contractor,54,1.8,0-90 days
177,153,20210228,4,11,23,1,1,Part-Time,612,20.1,1-2 years
178,202,20210228,17,8,29,1,1,Contractor,0,0.0,0-90 days
179,281,20210228,7,11,28,1,1,Full-Time,570,18.7,1-2 years
180,295,20210228,27,10,9,1,1,Contractor,407,13.4,1-2 years
181,313,20210228,6,17,21,1,1,Part-Time,90,3.0,0-90 days
182,316,20210228,32,19,22,1,1,Full-Time,747,24.5,2-3 years
183,320,20210228,26,4,9,1,1,Full-Time,12,0.4,0-90 days
184,350,20210228,3,11,8,1,1,Full-Time,131,4.3,91-182 days
185,412,20210228,15,8,30,1,1,Full-Time,206,6.8,6-12 months
186,447,20210228,10,5,30,1,1,Full-Time,40,1.3,0-90 days
187,473,20210228,17,7,2,1,1,Full-Time,371,12.2,1-2 years
188,475,20210228,34,19,15,1,1,Full-Time,374,12.3,1-2 years
189,15,20210331,10,2,30,1,1,Full-Time,142,4.7,91-182 days
190,25,20210331,25,9,16,1,1,Full-Time,573,18.8,1-2 years
191,57,20210331,24,9,30,1,1,Part-Time,268,8.8,6-12 months
192,58,20210331,9,2,3,1,1,Contractor,281,9.2,6-12 months
193,68,20210331,31,18,22,1,1,Full-Time,45,1.5,0-90 days
194,80,20210331,7,16,12,1,1,Full-Time,233,7.7,6-12 months
195,96,20210331,19,3,30,1,1,Full-Time,291,9.6,6-12 months
196,98,20210331,13,5,18,1,1,Full-Time,163,5.4,91-182 days
197,124,20210331,2,17,4,1,1,Contractor,85,2.8,0-90 days
198,153,20210331,4,11,23,1,1,Part-Time,643,21.1,1-2 years
199,163,20210331,33,20,29,1,1,Full-Time,6,0.2,0-90 days
200,202,20210331,17,8,29,1,1,Contractor,31,1.0,0-90 days
201,281,20210331,7,11,28,1,1,Full-Time,601,19.7,1-2 years
202,295,20210331,27,10,9,1,1,Contractor,438,14.4,1-2 years
203,313,20210331,6,17,21,1,1,Part-Time,121,4.0,91-182 days
204,316,20210331,32,19,22,1,1,Full-Time,778,25.6,2-3 years
205,320,20210331,26,4,9,1,1,Full-Time,43,1.4,0-90 days
206,347,20210331,19,7,30,1,1,Full-Time,27,0.9,0-90 days
207,350,20210331,3,11,8,1,1,Full-Time,162,5.3,91-182 days
208,412,20210331,25,4,1,1,1,Full-Time,237,7.8,6-12 months
209,447,20210331,10,5,30,1,1,Full-Time,71,2.3,0-90 days
210,473,20210331,17,7,2,1,1,Full-Time,402,13.2,1-2 years
211,475,20210331,34,19,15,1,1,Full-Time,405,13.3,1-2 years
212,15,20210430,10,2,30,1,1,Full-Time,172,5.7,91-182 days
213,25,20210430,25,9,16,1,1,Full-Time,603,19.8,1-2 years
214,57,20210430,24,9,30,1,1,Part-Time,298,9.8,6-12 months
215,58,20210430,9,2,3,1,1,Contractor,311,10.2,6-12 months
216,68,20210430,31,18,22,1,1,Full-Time,75,2.5,0-90 days
217,80,20210430,7,16,12,1,1,Full-Time,263,8.6,6-12 months
218,96,20210430,19,3,30,1,1,Full-Time,321,10.5,6-12 months
219,98,20210430,13,5,18,1,1,Full-Time,193,6.3,6-12 months
220,124,20210430,2,17,4,1,1,Contractor,115,3.8,91-182 days
221,153,20210430,4,11,23,1,1,Part-Time,673,22.1,1-2 years
222,163,20210430,33,20,29,1,1,Full-Time,36,1.2,0-90 days
223,202,20210430,17,8,29,1,1,Contractor,61,2.0,0-90 days
224,281,20210430,7,11,28,1,1,Full-Time,631,20.7,1-2 years
225,295,20210430,27,10,9,1,1,Contractor,468,15.4,1-2 years
226,313,20210430,6,17,21,1,1,Part-Time,151,5.0,91-182 days
227,316,20210430,32,19,22,1,1,Full-Time,808,26.5,2-3 years
228,320,20210430,26,4,9,1,1,Full-Time,73,2.4,0-90 days
229,347,20210430,19,7,30,1,1,Full-Time,57,1.9,0-90 days
230,350,20210430,3,11,8,1,1,Full-Time,192,6.3,6-12 months
231,412,20210430,25,4,1,1,1,Full-Time,267,8.8,6-12 months
232,447,20210430,10,5,30,1,1,Full-Time,101,3.3,91-182 days
233,473,20210430,17,7,2,1,1,Full-Time,432,14.2,1-2 years
234,475,20210430,34,19,15,1,1,Full-Time,435,14.3,1-2 years
235,15,20210531,10,2,30,1,1,Full-Time,203,6.7,6-12 months
236,25,20210531,25,9,16,1,1,Full-Time,634,20.8,1-2 years
237,57,20210531,24,9,30,1,1,Part-Time,329,10.8,6-12 months
238,58,20210531,9,2,3,1,1,Contractor,342,11.2,6-12 months
239,68,20210531,31,18,22,1,1,Full-Time,106,3.5,91-182 days
240,80,20210531,7,16,12,1,1,Full-Time,294,9.7,6-12 months
241,96,20210531,19,3,30,1,1,Full-Time,352,11.6,6-12 months
242,98,20210531,13,5,18,1,1,Full-Time,224,7.4,6-12 months
243,124,20210531,2,17,4,1,1,Contractor,146,4.8,91-182 days
244,153,20210531,4,11,23,1,1,Part-Time,704,23.1,1-2 years
245,163,20210531,33,20,29,1,1,Full-Time,67,2.2,0-90 days
246,202,20210531,17,8,29,1,1,Contractor,92,3.0,91-182 days
247,281,20210531,7,11,28,1,1,Full-Time,662,21.7,1-2 years
248,295,20210531,27,10,9,1,1,Contractor,499,16.4,1-2 years
249,313,20210531,6,17,21,1,1,Part-Time,182,6.0,91-182 days
250,316,20210531,32,19,22,1,1,Full-Time,839,27.6,2-3 years
251,320,20210531,26,4,9,1,1,Full-Time,104,3.4,91-182 days
252,347,20210531,19,7,30,1,1,Full-Time,88,2.9,0-90 days
253,350,20210531,3,11,8,1,1,Full-Time,223,7.3,6-12 months
254,412,20210531,25,4,1,1,1,Full-Time,298,9.8,6-12 months
255,447,20210531,10,5,30,1,1,Full-Time,132,4.3,91-182 days
256,473,20210531,17,7,2,1,1,Full-Time,463,15.2,1-2 years
257,475,20210531,34,19,15,1,1,Full-Time,466,15.3,1-2 years
258,15,20210630,10,2,30,1,1,Full-Time,233,7.7,6-12 months
259,25,20210630,25,9,16,1,1,Full-Time,664,21.8,1-2 years
260,57,20210630,24,9,30,1,1,Part-Time,359,11.8,6-12 months
261,58,20210630,9,2,3,1,1,Contractor,372,12.2,1-2 years
262,68,20210630,31,18,22,1,1,Full-Time,136,4.5,91-182 days
263,80,20210630,7,16,12,1,1,Full-Time,324,10.6,6-12 months
264,98,20210630,13,5,18,1,1,Full-Time,254,8.3,6-12 months
