pipeline_id,req_id,candidate_id,stage_name,stage_date,date_id,conversion_flag,company_id
1,1,1,Applied,2025-08-20,20250820,0,1
2,1,2,Applied,2025-08-21,20250821,0,1
3,1,3,Applied,2025-08-19,20250819,0,1
4,1,4,Applied,2025-08-21,20250821,0,1
5,1,5,Applied,2025-08-21,20250821,0,1
6,1,6,Applied,2025-08-20,20250820,0,1
7,1,7,Applied,2025-08-22,20250822,0,1
8,1,8,Applied,2025-08-20,20250820,0,1
9,1,9,Applied,2025-08-20,20250820,1,1
10,1,9,Phone Screen,2025-08-24,20250824,1,1
11,1,9,Interview,2025-09-03,20250903,1,1
12,1,10,Applied,2025-08-22,20250822,1,1
13,1,11,Applied,2025-08-18,20250818,1,1
14,1,12,Applied,2025-08-18,20250818,1,1
15,1,12,Phone Screen,2025-08-23,20250823,1,1
16,1,13,Applied,2025-08-22,20250822,0,1
17,2,14,Applied,2023-03-21,20230321,1,1
18,2,15,Applied,2023-03-21,20230321,1,1
19,2,16,Applied,2023-03-22,20230322,1,1
20,2,17,Applied,2023-03-21,20230321,1,1
21,2,18,Applied,2023-03-22,20230322,0,1
22,2,19,Applied,2023-03-19,20230319,0,1
23,2,20,Applied,2023-03-19,20230319,1,1
24,2,21,Applied,2023-03-20,20230320,1,1
25,2,21,Phone Screen,2023-03-28,20230328,1,1
26,2,22,Applied,2023-03-19,20230319,1,1
27,2,22,Phone Screen,2023-03-23,20230323,0,1
28,2,23,Applied,2023-03-21,20230321,1,1
29,2,23,Phone Screen,2023-03-29,20230329,1,1
30,3,24,Applied,2021-08-20,20210820,0,1
31,3,25,Applied,2021-08-20,20210820,0,1
32,3,26,Applied,2021-08-17,20210817,1,1
33,3,26,Phone Screen,2021-08-22,20210822,1,1
34,3,27,Applied,2021-08-20,20210820,1,1
35,3,27,Phone Screen,2021-08-28,20210828,0,1
36,3,28,Applied,2021-08-21,20210821,0,1
37,3,29,Applied,2021-08-18,20210818,1,1
38,3,29,Phone Screen,2021-08-26,20210826,1,1
39,3,30,Applied,2021-08-18,20210818,1,1
40,3,30,Phone Screen,2021-08-24,20210824,1,1
41,3,31,Applied,2021-08-20,20210820,1,1
42,3,31,Phone Screen,2021-08-30,20210830,0,1
43,3,32,Applied,2021-08-20,20210820,1,1
44,3,32,Phone Screen,2021-08-24,20210824,1,1
45,3,33,Applied,2021-08-20,20210820,1,1
46,3,33,Phone Screen,2021-08-28,20210828,1,1
47,3,33,Interview,2021-09-07,20210907,1,1
48,3,34,Applied,2021-08-17,20210817,1,1
